date,number_cases_sold,cookie_type,troop_id,number_of_girls,period,SU Name,SU #
2023,13.08333333,"Do-Si-
Dos",1900,12,4,Monroe/Owen,718
2022,0.0,Thin Mints,1900,0,3,Monroe/Owen,718
2022,0.0,Adventurefuls,1900,0,3,Monroe/Owen,718
2022,0.0,"Toffee-
tastic",1900,0,3,Monroe/Owen,718
2022,0.0,Samoas,1900,0,3,Monroe/Owen,718
2022,0.0,Lemon-Ups,1900,0,3,Monroe/Owen,718
2023,4.333333333,"Toffee-
tastic",1900,12,4,Monroe/Owen,718
2023,38.08333333,Thin Mints,1900,12,4,Monroe/Owen,718
2023,9.25,Adventurefuls,1900,12,4,Monroe/Owen,718
2022,0.0,Trefoils,1900,0,3,Monroe/Owen,718
2023,10.25,Trefoils,1900,12,4,Monroe/Owen,718
2023,13.41666667,Tagalongs,1900,12,4,Monroe/Owen,718
2023,7.083333333,Lemon-Ups,1900,12,4,Monroe/Owen,718
2023,58.16666667,"Do-Si-
Dos",1902,8,4,Decatur Township,614
2023,24.08333333,Lemon-Ups,1902,8,4,Decatur Township,614
2023,65.16666667,Tagalongs,1902,8,4,Decatur Township,614
2023,76.0,Samoas,1902,8,4,Decatur Township,614
2023,125.6666667,Thin Mints,1902,8,4,Decatur Township,614
2022,2.25,Adventurefuls,1902,3,3,Decatur Township,614
2022,2.25,"Do-Si-
Dos",1902,3,3,Decatur Township,614
2023,16.0,"Toffee-
tastic",1902,8,4,Decatur Township,614
2024,23.83333333,Trefoils,1902,7,5,Decatur Township,614
2024,102.6666667,Thin Mints,1902,7,5,Decatur Township,614
2024,39.58333333,Adventurefuls,1902,7,5,Decatur Township,614
2024,52.0,Tagalongs,1902,7,5,Decatur Township,614
2024,20.33333333,Lemon-Ups,1902,7,5,Decatur Township,614
2024,17.16666667,"Toffee-
tastic",1902,7,5,Decatur Township,614
2024,59.83333333,Samoas,1902,7,5,Decatur Township,614
2024,47.66666667,"Do-Si-
Dos",1902,7,5,Decatur Township,614
2022,3.333333333,Samoas,1902,3,3,Decatur Township,614
2022,5.583333333,Thin Mints,1902,3,3,Decatur Township,614
2022,1.416666667,Trefoils,1902,3,3,Decatur Township,614
2022,2.0,"Toffee-
tastic",1902,3,3,Decatur Township,614
2022,1.25,Lemon-Ups,1902,3,3,Decatur Township,614
2022,2.75,Tagalongs,1902,3,3,Decatur Township,614
2023,51.0,Adventurefuls,1902,8,4,Decatur Township,614
2023,26.0,Trefoils,1902,8,4,Decatur Township,614
2024,0.0,"Do-Si-
Dos",1903,0,5,West Indy,608
2021,6.083333333,Samoas,1903,4,2,West Indy,604
2024,0.0,Thin Mints,1903,0,5,West Indy,608
2024,0.0,Tagalongs,1903,0,5,West Indy,608
2024,0.0,Lemon-Ups,1903,0,5,West Indy,608
2024,0.0,Adventurefuls,1903,0,5,West Indy,608
2024,0.0,Samoas,1903,0,5,West Indy,608
2024,0.0,"Toffee-
tastic",1903,0,5,West Indy,608
2021,4.083333333,Lemon-Ups,1903,4,2,West Indy,604
2021,7.0,Tagalongs,1903,4,2,West Indy,604
2021,3.0,Trefoils,1903,4,2,West Indy,604
2024,0.0,Trefoils,1903,0,5,West Indy,608
2021,2.0,"Toffee-
tastic",1903,4,2,West Indy,604
2020,20.58333333,Trefoils,1903,9,1,West Indy,604
2022,0.0,"Do-Si-
Dos",1903,0,3,West Indy,608
2022,0.0,Thin Mints,1903,0,3,West Indy,608
2022,0.0,Lemon-Ups,1903,0,3,West Indy,608
2022,0.0,Adventurefuls,1903,0,3,West Indy,608
2022,0.0,Tagalongs,1903,0,3,West Indy,608
2022,0.0,Samoas,1903,0,3,West Indy,608
2022,0.0,"Toffee-
tastic",1903,0,3,West Indy,608
2022,0.0,Trefoils,1903,0,3,West Indy,608
2021,5.0,"Do-Si-
Dos",1903,4,2,West Indy,604
2020,49.58333333,Thin Mints,1903,9,1,West Indy,604
2020,30.33333333,"Do-Si-
Dos",1903,9,1,West Indy,604
2020,28.0,Tagalongs,1903,9,1,West Indy,604
2020,31.75,Samoas,1903,9,1,West Indy,604
2020,6.0,"Toffee-
tastic",1903,9,1,West Indy,604
2021,10.66666667,Thin Mints,1903,4,2,West Indy,604
2023,3.0,Samoas,1904,8,4,Johnson County South,629
2023,2.416666667,"Do-Si-
Dos",1904,8,4,Johnson County South,629
2023,1.583333333,Adventurefuls,1904,8,4,Johnson County South,629
2023,6.416666667,Thin Mints,1904,8,4,Johnson County South,629
2023,1.083333333,Lemon-Ups,1904,8,4,Johnson County South,629
2023,2.833333333,Tagalongs,1904,8,4,Johnson County South,629
2023,0.25,"Toffee-
tastic",1904,8,4,Johnson County South,629
2023,1.333333333,Trefoils,1904,8,4,Johnson County South,629
2022,28.66666667,Tagalongs,1906,7,3,Hancock County,671
2022,20.91666667,"Do-Si-
Dos",1906,7,3,Hancock County,671
2022,10.83333333,"Toffee-
tastic",1906,7,3,Hancock County,671
2022,12.58333333,Lemon-Ups,1906,7,3,Hancock County,671
2022,17.66666667,Trefoils,1906,7,3,Hancock County,671
2022,22.41666667,Adventurefuls,1906,7,3,Hancock County,671
2023,42.41666667,"Do-Si-
Dos",1906,16,4,Hancock County,671
2023,116.1666667,Thin Mints,1906,16,4,Hancock County,671
2023,15.0,"Toffee-
tastic",1906,16,4,Hancock County,671
2023,61.58333333,Tagalongs,1906,16,4,Hancock County,671
2023,27.0,Lemon-Ups,1906,16,4,Hancock County,671
2022,28.41666667,Samoas,1906,7,3,Hancock County,671
2023,71.0,Samoas,1906,16,4,Hancock County,671
2023,33.91666667,Adventurefuls,1906,16,4,Hancock County,671
2022,53.0,Thin Mints,1906,7,3,Hancock County,671
2024,60.91666667,"Do-Si-
Dos",1906,18,5,Hancock County,671
2024,35.91666667,Lemon-Ups,1906,18,5,Hancock County,671
2023,38.33333333,Trefoils,1906,16,4,Hancock County,671
2024,21.91666667,"Toffee-
tastic",1906,18,5,Hancock County,671
2024,87.91666667,Samoas,1906,18,5,Hancock County,671
2024,38.58333333,Adventurefuls,1906,18,5,Hancock County,671
2024,82.08333333,Tagalongs,1906,18,5,Hancock County,671
2024,152.0,Thin Mints,1906,18,5,Hancock County,671
2024,48.75,Trefoils,1906,18,5,Hancock County,671
2024,0.0,Trefoils,1907,0,5,North & South Vigo,162
2020,28.0,Samoas,1907,10,1,North & South Vigo,162
2020,7.0,"Toffee-
tastic",1907,10,1,North & South Vigo,162
2020,27.91666667,"Do-Si-
Dos",1907,10,1,North & South Vigo,162
2021,76.75,Thin Mints,1907,6,2,North & South Vigo,162
2020,30.0,Tagalongs,1907,10,1,North & South Vigo,162
2021,36.83333333,Samoas,1907,6,2,North & South Vigo,162
2020,54.16666667,Thin Mints,1907,10,1,North & South Vigo,162
2021,37.5,Tagalongs,1907,6,2,North & South Vigo,162
2024,0.0,Tagalongs,1907,0,5,North & South Vigo,162
2024,0.0,Samoas,1907,0,5,North & South Vigo,162
2021,13.33333333,Trefoils,1907,6,2,North & South Vigo,162
2021,14.08333333,Lemon-Ups,1907,6,2,North & South Vigo,162
2020,15.0,Trefoils,1907,10,1,North & South Vigo,162
2021,32.41666667,"Do-Si-
Dos",1907,6,2,North & South Vigo,162
2021,8.0,"Toffee-
tastic",1907,6,2,North & South Vigo,162
2024,0.0,Thin Mints,1907,0,5,North & South Vigo,162
2023,11.0,Samoas,1907,6,4,North & South Vigo,162
2024,0.0,Lemon-Ups,1907,0,5,North & South Vigo,162
2024,0.0,Adventurefuls,1907,0,5,North & South Vigo,162
2022,7.333333333,Adventurefuls,1907,4,3,North & South Vigo,162
2022,2.0,"Toffee-
tastic",1907,4,3,North & South Vigo,162
2022,4.0,Lemon-Ups,1907,4,3,North & South Vigo,162
2022,29.83333333,Thin Mints,1907,4,3,North & South Vigo,162
2022,4.333333333,Trefoils,1907,4,3,North & South Vigo,162
2022,14.75,Tagalongs,1907,4,3,North & South Vigo,162
2022,11.75,"Do-Si-
Dos",1907,4,3,North & South Vigo,162
2022,14.16666667,Samoas,1907,4,3,North & South Vigo,162
2023,10.0,Adventurefuls,1907,6,4,North & South Vigo,162
2023,11.25,Tagalongs,1907,6,4,North & South Vigo,162
2023,6.0,Trefoils,1907,6,4,North & South Vigo,162
2023,2.833333333,"Toffee-
tastic",1907,6,4,North & South Vigo,162
2023,28.0,Thin Mints,1907,6,4,North & South Vigo,162
2023,3.333333333,Lemon-Ups,1907,6,4,North & South Vigo,162
2023,9.0,"Do-Si-
Dos",1907,6,4,North & South Vigo,162
2024,0.0,"Do-Si-
Dos",1907,0,5,North & South Vigo,162
2024,0.0,"Toffee-
tastic",1907,0,5,North & South Vigo,162
2020,7.0,"Do-Si-
Dos",1908,3,1,Hamilton Southeastern,611
2020,5.5,Samoas,1908,3,1,Hamilton Southeastern,611
2020,1.083333333,"Toffee-
tastic",1908,3,1,Hamilton Southeastern,611
2020,4.25,Trefoils,1908,3,1,Hamilton Southeastern,611
2020,5.166666667,Tagalongs,1908,3,1,Hamilton Southeastern,611
2020,9.666666667,Thin Mints,1908,3,1,Hamilton Southeastern,611
2020,4.416666667,"Do-Si-
Dos",1910,9,1,Hamilton Southeastern,611
2020,3.666666667,Trefoils,1910,9,1,Hamilton Southeastern,611
2020,5.833333333,Samoas,1910,9,1,Hamilton Southeastern,611
2020,0.333333333,"Toffee-
tastic",1910,9,1,Hamilton Southeastern,611
2020,4.583333333,Tagalongs,1910,9,1,Hamilton Southeastern,611
2020,8.666666667,Thin Mints,1910,9,1,Hamilton Southeastern,611
2024,0.0,"Toffee-
tastic",1911,0,5,Fishers,630
2024,0.0,Trefoils,1911,0,5,Fishers,630
2022,0.083333333,"Toffee-
tastic",1911,2,3,Fishers,630
2022,0.25,"Do-Si-
Dos",1911,2,3,Fishers,630
2024,0.0,Thin Mints,1911,0,5,Fishers,630
2022,0.0,Adventurefuls,1911,2,3,Fishers,630
2022,0.333333333,Lemon-Ups,1911,2,3,Fishers,630
2022,1.583333333,Thin Mints,1911,2,3,Fishers,630
2022,1.0,Tagalongs,1911,2,3,Fishers,630
2022,0.5,Trefoils,1911,2,3,Fishers,630
2024,0.0,Tagalongs,1911,0,5,Fishers,630
2023,0.0,"Toffee-
tastic",1911,0,4,Fishers,630
2024,0.0,Lemon-Ups,1911,0,5,Fishers,630
2021,1.083333333,"Do-Si-
Dos",1911,3,2,Fishers,630
2021,2.5,Samoas,1911,3,2,Fishers,630
2021,0.75,"Toffee-
tastic",1911,3,2,Fishers,630
2021,1.083333333,Lemon-Ups,1911,3,2,Fishers,630
2021,9.416666667,Thin Mints,1911,3,2,Fishers,630
2021,4.75,Tagalongs,1911,3,2,Fishers,630
2021,0.333333333,Trefoils,1911,3,2,Fishers,630
2023,0.0,Thin Mints,1911,0,4,Fishers,630
2023,0.0,Lemon-Ups,1911,0,4,Fishers,630
2020,0.916666667,"Toffee-
tastic",1911,3,1,Fishers,630
2020,5.75,Tagalongs,1911,3,1,Fishers,630
2020,2.583333333,Trefoils,1911,3,1,Fishers,630
2020,5.333333333,Samoas,1911,3,1,Fishers,630
2020,3.583333333,"Do-Si-
Dos",1911,3,1,Fishers,630
2020,12.75,Thin Mints,1911,3,1,Fishers,630
2023,0.0,Trefoils,1911,0,4,Fishers,630
2024,0.0,Adventurefuls,1911,0,5,Fishers,630
2023,0.0,Tagalongs,1911,0,4,Fishers,630
2022,0.166666667,Samoas,1911,2,3,Fishers,630
2024,0.0,"Do-Si-
Dos",1911,0,5,Fishers,630
2024,0.0,Samoas,1911,0,5,Fishers,630
2023,0.0,"Do-Si-
Dos",1911,0,4,Fishers,630
2023,0.0,Samoas,1911,0,4,Fishers,630
2023,0.0,Adventurefuls,1911,0,4,Fishers,630
2021,8.416666667,Thin Mints,1913,2,2,Fishers,630
2021,5.416666667,Samoas,1913,2,2,Fishers,630
2021,7.5,Tagalongs,1913,2,2,Fishers,630
2021,2.0,Lemon-Ups,1913,2,2,Fishers,630
2020,16.16666667,Tagalongs,1913,2,1,Fishers,630
2020,21.5,Thin Mints,1913,2,1,Fishers,630
2020,1.916666667,"Toffee-
tastic",1913,2,1,Fishers,630
2020,9.75,Samoas,1913,2,1,Fishers,630
2020,4.0,Trefoils,1913,2,1,Fishers,630
2020,3.416666667,"Do-Si-
Dos",1913,2,1,Fishers,630
2021,2.583333333,"Do-Si-
Dos",1913,2,2,Fishers,630
2021,0.0,"Toffee-
tastic",1913,2,2,Fishers,630
2021,1.916666667,Trefoils,1913,2,2,Fishers,630
2022,3.5,Adventurefuls,1913,2,3,Fishers,630
2022,0.5,"Toffee-
tastic",1913,2,3,Fishers,630
2022,7.833333333,Thin Mints,1913,2,3,Fishers,630
2022,3.083333333,"Do-Si-
Dos",1913,2,3,Fishers,630
2022,1.75,Lemon-Ups,1913,2,3,Fishers,630
2022,7.583333333,Tagalongs,1913,2,3,Fishers,630
2022,5.166666667,Samoas,1913,2,3,Fishers,630
2022,1.5,Trefoils,1913,2,3,Fishers,630
2022,0.0,"Toffee-
tastic",1917,0,3,Greenwood,670
2022,0.0,Tagalongs,1917,0,3,Greenwood,670
2022,0.0,Trefoils,1917,0,3,Greenwood,670
2022,0.0,Samoas,1917,0,3,Greenwood,670
2022,0.0,Lemon-Ups,1917,0,3,Greenwood,670
2022,0.0,Adventurefuls,1917,0,3,Greenwood,670
2022,0.0,Thin Mints,1917,0,3,Greenwood,670
2022,0.0,"Do-Si-
Dos",1917,0,3,Greenwood,670
2022,0.0,Adventurefuls,1918,0,3,Hancock County,671
2022,0.0,"Toffee-
tastic",1918,0,3,Hancock County,671
2022,0.0,Trefoils,1918,0,3,Hancock County,671
2022,0.0,Lemon-Ups,1918,0,3,Hancock County,671
2022,0.0,Thin Mints,1918,0,3,Hancock County,671
2022,0.0,Samoas,1918,0,3,Hancock County,671
2022,0.0,Tagalongs,1918,0,3,Hancock County,671
2022,0.0,"Do-Si-
Dos",1918,0,3,Hancock County,671
2024,2.833333333,Adventurefuls,1918,2,5,Carmel East,663
2024,8.333333333,Thin Mints,1918,2,5,Carmel East,663
2023,0.0,"Toffee-
tastic",1918,0,4,Carmel East,663
2023,0.0,Trefoils,1918,0,4,Carmel East,663
2023,0.0,Lemon-Ups,1918,0,4,Carmel East,663
2023,0.0,"Do-Si-
Dos",1918,0,4,Carmel East,663
2023,0.0,Thin Mints,1918,0,4,Carmel East,663
2023,0.0,Adventurefuls,1918,0,4,Carmel East,663
2023,0.0,Tagalongs,1918,0,4,Carmel East,663
2023,0.0,Samoas,1918,0,4,Carmel East,663
2024,1.416666667,Lemon-Ups,1918,2,5,Carmel East,663
2024,1.25,Trefoils,1918,2,5,Carmel East,663
2024,4.0,Samoas,1918,2,5,Carmel East,663
2024,2.583333333,"Do-Si-
Dos",1918,2,5,Carmel East,663
2024,4.583333333,Tagalongs,1918,2,5,Carmel East,663
2024,0.583333333,"Toffee-
tastic",1918,2,5,Carmel East,663
2022,5.583333333,Tagalongs,1919,2,3,Shelby,628
2022,3.25,"Toffee-
tastic",1919,2,3,Shelby,628
2022,4.916666667,"Do-Si-
Dos",1919,2,3,Shelby,628
2022,2.25,Adventurefuls,1919,2,3,Shelby,628
2022,6.666666667,Samoas,1919,2,3,Shelby,628
2022,11.0,Thin Mints,1919,2,3,Shelby,628
2024,26.08333333,"Do-Si-
Dos",1919,10,5,Shelby,628
2024,7.416666667,"Toffee-
tastic",1919,10,5,Shelby,628
2024,45.91666667,Tagalongs,1919,10,5,Shelby,628
2023,7.166666667,Trefoils,1919,7,4,Shelby,628
2023,6.166666667,Lemon-Ups,1919,7,4,Shelby,628
2023,15.75,Adventurefuls,1919,7,4,Shelby,628
2023,24.16666667,Samoas,1919,7,4,Shelby,628
2023,6.0,"Toffee-
tastic",1919,7,4,Shelby,628
2024,20.0,Trefoils,1919,10,5,Shelby,628
2023,38.33333333,Thin Mints,1919,7,4,Shelby,628
2022,3.666666667,Lemon-Ups,1919,2,3,Shelby,628
2022,3.75,Trefoils,1919,2,3,Shelby,628
2023,21.33333333,Tagalongs,1919,7,4,Shelby,628
2023,14.33333333,"Do-Si-
Dos",1919,7,4,Shelby,628
2024,45.25,Samoas,1919,10,5,Shelby,628
2024,12.91666667,Lemon-Ups,1919,10,5,Shelby,628
2024,28.08333333,Adventurefuls,1919,10,5,Shelby,628
2024,54.41666667,Thin Mints,1919,10,5,Shelby,628
2024,60.5,Thin Mints,1920,6,5,Greenwood,670
2024,21.91666667,"Do-Si-
Dos",1920,6,5,Greenwood,670
2024,7.083333333,"Toffee-
tastic",1920,6,5,Greenwood,670
2024,11.75,Lemon-Ups,1920,6,5,Greenwood,670
2024,14.5,Trefoils,1920,6,5,Greenwood,670
2024,19.33333333,Adventurefuls,1920,6,5,Greenwood,670
2023,8.25,Adventurefuls,1920,6,4,Greenwood,670
2023,9.916666667,"Do-Si-
Dos",1920,6,4,Greenwood,670
2023,13.75,Tagalongs,1920,6,4,Greenwood,670
2023,2.416666667,"Toffee-
tastic",1920,6,4,Greenwood,670
2023,3.916666667,Lemon-Ups,1920,6,4,Greenwood,670
2023,32.08333333,Thin Mints,1920,6,4,Greenwood,670
2023,16.25,Samoas,1920,6,4,Greenwood,670
2023,6.666666667,Trefoils,1920,6,4,Greenwood,670
2024,31.91666667,Tagalongs,1920,6,5,Greenwood,670
2024,35.75,Samoas,1920,6,5,Greenwood,670
2023,14.0,"Do-Si-
Dos",1921,7,4,Lawrence County,787
2023,13.0,Adventurefuls,1921,7,4,Lawrence County,787
2023,6.0,Trefoils,1921,7,4,Lawrence County,787
2023,28.0,Thin Mints,1921,7,4,Lawrence County,787
2023,6.75,Lemon-Ups,1921,7,4,Lawrence County,787
2023,19.0,Samoas,1921,7,4,Lawrence County,787
2023,2.666666667,"Toffee-
tastic",1921,7,4,Lawrence County,787
2023,15.0,Tagalongs,1921,7,4,Lawrence County,787
2020,6.0,Tagalongs,1922,3,1,Hamilton Southeastern,611
2020,2.0,"Toffee-
tastic",1922,3,1,Hamilton Southeastern,611
2022,0.0,"Toffee-
tastic",1922,0,3,Hamilton Southeastern,611
2022,0.0,"Do-Si-
Dos",1922,0,3,Hamilton Southeastern,611
2020,11.33333333,Thin Mints,1922,3,1,Hamilton Southeastern,611
2022,0.0,Thin Mints,1922,0,3,Hamilton Southeastern,611
2020,3.833333333,"Do-Si-
Dos",1922,3,1,Hamilton Southeastern,611
2022,0.0,Tagalongs,1922,0,3,Hamilton Southeastern,611
2022,0.0,Samoas,1922,0,3,Hamilton Southeastern,611
2022,0.0,Trefoils,1922,0,3,Hamilton Southeastern,611
2022,0.0,Lemon-Ups,1922,0,3,Hamilton Southeastern,611
2022,0.0,Adventurefuls,1922,0,3,Hamilton Southeastern,611
2020,3.0,Trefoils,1922,3,1,Hamilton Southeastern,611
2021,1.083333333,Trefoils,1922,2,2,Hamilton Southeastern,611
2021,0.666666667,Lemon-Ups,1922,2,2,Hamilton Southeastern,611
2021,2.333333333,Tagalongs,1922,2,2,Hamilton Southeastern,611
2021,3.0,Samoas,1922,2,2,Hamilton Southeastern,611
2021,6.333333333,Thin Mints,1922,2,2,Hamilton Southeastern,611
2021,0.666666667,"Do-Si-
Dos",1922,2,2,Hamilton Southeastern,611
2021,0.25,"Toffee-
tastic",1922,2,2,Hamilton Southeastern,611
2020,5.5,Samoas,1922,3,1,Hamilton Southeastern,611
2020,5.0,"Do-Si-
Dos",1929,3,1,Southern Johnson County,629
2020,9.0,Thin Mints,1929,3,1,Southern Johnson County,629
2020,6.0,Samoas,1929,3,1,Southern Johnson County,629
2020,5.0,Tagalongs,1929,3,1,Southern Johnson County,629
2020,2.0,Trefoils,1929,3,1,Southern Johnson County,629
2020,1.0,"Toffee-
tastic",1929,3,1,Southern Johnson County,629
2023,22.0,Samoas,1931,8,4,Greenwood,670
2023,5.0,"Toffee-
tastic",1931,8,4,Greenwood,670
2023,14.33333333,Adventurefuls,1931,8,4,Greenwood,670
2023,38.16666667,Thin Mints,1931,8,4,Greenwood,670
2023,7.083333333,Lemon-Ups,1931,8,4,Greenwood,670
2024,9.083333333,Lemon-Ups,1931,3,5,Greenwood,670
2024,32.16666667,Thin Mints,1931,3,5,Greenwood,670
2024,12.66666667,Adventurefuls,1931,3,5,Greenwood,670
2023,8.083333333,Trefoils,1931,8,4,Greenwood,670
2024,12.91666667,"Do-Si-
Dos",1931,3,5,Greenwood,670
2024,8.0,Trefoils,1931,3,5,Greenwood,670
2024,17.91666667,Tagalongs,1931,3,5,Greenwood,670
2024,3.833333333,"Toffee-
tastic",1931,3,5,Greenwood,670
2023,19.91666667,Tagalongs,1931,8,4,Greenwood,670
2024,23.75,Samoas,1931,3,5,Greenwood,670
2023,15.0,"Do-Si-
Dos",1931,8,4,Greenwood,670
2024,30.66666667,Adventurefuls,1933,29,5,Morgan County,612
2023,11.0,"Toffee-
tastic",1933,16,4,Morgan County,612
2023,21.08333333,Trefoils,1933,16,4,Morgan County,612
2023,42.08333333,Tagalongs,1933,16,4,Morgan County,612
2023,27.0,Adventurefuls,1933,16,4,Morgan County,612
2023,80.5,Thin Mints,1933,16,4,Morgan County,612
2023,36.83333333,"Do-Si-
Dos",1933,16,4,Morgan County,612
2024,57.5,Tagalongs,1933,29,5,Morgan County,612
2023,48.5,Samoas,1933,16,4,Morgan County,612
2024,59.16666667,Samoas,1933,29,5,Morgan County,612
2024,13.91666667,"Toffee-
tastic",1933,29,5,Morgan County,612
2024,18.33333333,Lemon-Ups,1933,29,5,Morgan County,612
